job_tittle_rev,salary_estimation,min_salary_est,max_salary_est,avg_salary_est,skill_excel,skill_python,skill_sql,skill_tableau,skill_powerbi,Rating,company_name,location,state,Headquarters,company_size(emp),Founded,Type of ownership,Industry,Sector,Revenue,avg_revenue_million,min_revenue_million,max_revenue_million
"Data Analyst, Center On Immigration And Justice (Cij)",37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,FALSE,FALSE,3.2,Vera Institute Of Justice,New York,New York,"New York, NY",201-500,1961,Nonprofit Organization,Social Assistance,Non-Profit,$100 to $500 million (USD),300,100,500
Quality Data Analyst,37000-66000,37000,66000,51500,TRUE,FALSE,TRUE,FALSE,FALSE,3.8,Visiting Nurse Service Of New York,New York,New York,"New York, NY",> 10000,1893,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),3500,2000,5000
Sr. Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,TRUE,FALSE,3.4,Squarespace,New York,New York,"New York, NY",1001-5000,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,,
Data Analyst,37000-66000,37000,66000,51500,FALSE,FALSE,TRUE,TRUE,FALSE,4.1,Celerity,New York,New York,"McLean, VA",201-500,2002,Subsidiary or Business Segment,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Reporting Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,3.9,Fanduel,New York,New York,"New York, NY",501-1000,2009,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),300,100,500
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,3.9,Point72,New York,New York,"Stamford, CT",1001-5000,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,,
Business/Data Analyst (Fp&A),37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,4.4,Two Sigma,New York,New York,"New York, NY",1001-5000,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,,,
Data Science Analyst,37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,FALSE,FALSE,3.7,Gny Insurance Companies,New York,New York,"New York, NY",201-500,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),300,100,500
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,4,Dmgt,New York,New York,"London, United Kingdom",5001-10000,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),1500,1000,2000
"Data Analyst, Merchant Health",37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,FALSE,FALSE,4.4,Riskified,New York,New York,"New York, NY",501-1000,2013,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,,,
Data Analyst,37000-66000,37000,66000,51500,TRUE,FALSE,FALSE,FALSE,FALSE,4,Nyu Langone Health,New York,New York,"New York, NY",> 10000,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),7500,5000,10000
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,TRUE,FALSE,,Bulbhead,Fairfield,New Jersey,,1-50,,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst,37000-66000,37000,66000,51500,TRUE,FALSE,FALSE,FALSE,FALSE,3.7,Montefiore Medical,New York,New York,"Bronx, NY",> 10000,1884,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),3500,2000,5000
Sr. Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,3,Known,New York,New York,"New York, NY",201-500,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),300,100,500
Investment Advisory Data Analyst,37000-66000,37000,66000,51500,TRUE,FALSE,TRUE,FALSE,FALSE,3.4,Advisor Group,Jersey City,New Jersey,"Phoenix, AZ",1001-5000,2016,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD),3,1,5
Sustainability Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Codegreen Solutions,New York,New York,"New York, NY",1-50,,Company - Private,Building & Personnel Services,Business Services,Unknown / Non-Applicable,,,
Data Analyst,37000-66000,37000,66000,51500,FALSE,FALSE,TRUE,TRUE,FALSE,3.8,Undertone,New York,New York,"New York, NY",201-500,2001,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,,,
Clinical Data Analyst,37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,FALSE,FALSE,3.8,Nystec,New York,New York,"Rome, NY",51-200,1996,Nonprofit Organization,Consulting,Business Services,$25 to $50 million (USD),37.5,25,50
Data Programmer/Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,FALSE,FALSE,FALSE,3.9,"Education Development Center, Inc.",New York,New York,"Waltham, MA",501-1000,1958,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),300,100,500
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,4.9,Teachers Pay Teachers,New York,New York,"New York, NY",51-200,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,,
"Product Analyst, Data Science",37000-66000,37000,66000,51500,TRUE,FALSE,TRUE,FALSE,FALSE,4.4,Google,New York,New York,"Mountain View, CA",> 10000,1998,Company - Public,Internet,Information Technology,$10+ billion (USD),,,
Data Science Analyst,37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,TRUE,FALSE,,Music & Entertainment,New York,New York,"Marina del Rey, CA",Unknown-,,Company - Public,,,Unknown / Non-Applicable,,,
Data Analyst - Intex Developer,37000-66000,37000,66000,51500,TRUE,TRUE,FALSE,FALSE,FALSE,3.3,Macquarie Group,New York,New York,"Sydney, Australia",> 10000,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),7500,5000,10000
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,TRUE,FALSE,3.5,Andiamo,New York,New York,"Warren, MI",201-500,,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD),3,1,5
Jr. Data Analyst,37000-66000,37000,66000,51500,TRUE,FALSE,TRUE,FALSE,FALSE,3.8,Dash Technologies Inc,New York,New York,"Columbus, OH",1-50,,Unknown,,,Unknown / Non-Applicable,,,
Data Analyst,37000-66000,37000,66000,51500,FALSE,TRUE,TRUE,FALSE,FALSE,4,Hearst Communications,New York,New York,"San Francisco, CA",1-50,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),,,
Data + Business Intelligence Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,TRUE,FALSE,5,Duolingo,New York,New York,"Pittsburgh, PA",201-500,2011,Company - Private,Internet,Information Technology,$10 to $25 million (USD),17.5,10,25
"Data Analyst, Product",37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,4.8,Ro,New York,New York,"New York, NY",51-200,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
Data Analyst Entry Level,37000-66000,37000,66000,51500,TRUE,FALSE,FALSE,FALSE,FALSE,3.7,Endai,New York,New York,"New York, NY",1-50,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),3,1,5
Data Analyst,37000-66000,37000,66000,51500,TRUE,TRUE,TRUE,FALSE,FALSE,4.7,Bluelabs,New York,New York,"Washington, DC",1-50,,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,,,
Data Analyst,46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,FALSE,FALSE,3.6,Revel,Brooklyn,New York,"Seattle, WA",51-200,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),37.5,25,50
Data Analyst,46000-87000,46000,87000,66500,FALSE,FALSE,FALSE,FALSE,FALSE,3.6,Nallas Corporation,Jersey City,New Jersey,"Newtown, PA",1-50,,Company - Private,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD),3,1,5
Data Analyst,46000-87000,46000,87000,66500,FALSE,FALSE,FALSE,FALSE,FALSE,3.5,Pozent,New York,New York,"Piscataway, NJ",1-50,,Contract,,,Less than $1 million (USD),,,
"Data Science Analyst, Capital Markets",46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,TRUE,FALSE,3.2,Sofi,New York,New York,"San Francisco, CA",1001-5000,2011,Company - Private,Lending,Finance,Unknown / Non-Applicable,,,
Data Analyst (Games),46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,TRUE,FALSE,,Carry1St,New York,New York,,,,,,,,,,
Analyst/Associate Global Markets Credit Data Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,FALSE,TRUE,FALSE,3.7,Bank Of America,New York,New York,"Charlotte, NC",> 10000,1904,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),,,
Data Business Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,FALSE,FALSE,,Clear Street,New York,New York,"New York, NY",51-200,2018,Company - Public,,,$1 to $5 million (USD),3,1,5
Data Analyst With Excel/Dax/ Powerbi Experience- Fulltime,46000-87000,46000,87000,66500,TRUE,FALSE,FALSE,FALSE,TRUE,3.6,Nutech Information Systems,New York,New York,"Westmont, IL",1-50,,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),,,
Data Science Analyst/Engineer,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,FALSE,FALSE,4,Nyu Langone Health,New York,New York,"New York, NY",> 10000,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),7500,5000,10000
Data Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,TRUE,FALSE,4.6,The Trevor Project,New York,New York,"West Hollywood, CA",51-200,,Nonprofit Organization,Social Assistance,Non-Profit,$10 to $25 million (USD),17.5,10,25
"Business Analyst, Data Platforms",46000-87000,46000,87000,66500,TRUE,FALSE,TRUE,TRUE,FALSE,,Pinto,New York,New York,"New York, NY",1-50,,Company - Private,,,Unknown / Non-Applicable,,,
Behavioral Data Analyst,46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,FALSE,FALSE,,Ab Inbev,New York,New York,"Kyiv, Ukraine",1001-5000,,Company - Public,,,Unknown / Non-Applicable,,,
Data Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,FALSE,FALSE,FALSE,5,Whip Media Group,New York,New York,"Santa Monica, CA",51-200,2016,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst -1+ Year Contract - Nyc,46000-87000,46000,87000,66500,FALSE,FALSE,FALSE,FALSE,FALSE,4,Two95 International Inc.,New York,New York,"Cherry Hill, NJ",1-50,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),3,1,5
Data Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,FALSE,FALSE,3,Vettery,New York,New York,"New York, NY",201-500,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,,
Data Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,TRUE,FALSE,TRUE,2.9,"Nesco Resource, Llc",New York,New York,"Cleveland, OH",1001-5000,1956,Company - Private,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD),250500,500000,1000
Advertising Data Analyst,46000-87000,46000,87000,66500,FALSE,FALSE,TRUE,TRUE,TRUE,4,Hearst Communications,New York,New York,"San Francisco, CA",1-50,,Company - Private,Advertising & Marketing,Business Services,Less than $1 million (USD),,,
Data Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Mediamath,New York,New York,"New York, NY",501-1000,2007,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD),300,100,500
Market Data Reporting Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,TRUE,FALSE,FALSE,4.9,Jordan & Jordan,New York,New York,"New York, NY",1-50,1990,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,,,
"Senior Analyst, Data Science",46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,TRUE,FALSE,3.9,Roku,New York,New York,"San Jose, CA",1001-5000,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),250500,500000,1000
Sr. Data Analyst,46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,TRUE,FALSE,4,Walt Disney Co.,New York,New York,"Burbank, CA",> 10000,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),,,
"Office Of The Cao | Reference Data, Project Manager/Business Analyst",46000-87000,46000,87000,66500,FALSE,TRUE,TRUE,TRUE,FALSE,3.8,Citadel,New York,New York,"Chicago, IL",1001-5000,1990,Company - Private,,,$50 to $100 million (USD),75,50,100
Business Data Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,TRUE,TRUE,FALSE,3.7,Xoriant Corporation,Jersey City,New Jersey,"Sunnyvale, CA",1001-5000,1990,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),300,100,500
Sr. Data Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Gemini,New York,New York,"New York, NY",51-200,2015,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable,,,
Data Scientist / Big Data Analytics Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,FALSE,TRUE,FALSE,3.6,"Tsr, Inc.",Weehawken,New Jersey,"Hauppauge, NY",201-500,1969,Company - Public,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),75,50,100
Data Reporting Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,FALSE,FALSE,FALSE,,Nadap Nys Inc.,New York,New York,,,,,,,,,,
"Principal Data Analyst, Latam - Disney Streaming Services",46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,TRUE,FALSE,4,Walt Disney Co.,New York,New York,"Burbank, CA",> 10000,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),,,
Jr. Data Analyst,46000-87000,46000,87000,66500,TRUE,FALSE,FALSE,TRUE,FALSE,3.2,Fragomen Worldwide,New York,New York,"New York, NY",1001-5000,1951,Company - Private,Legal,Accounting & Legal,$500 million to $1 billion (USD),250500,500000,1000
"Data Analyst - Environmental, Social, And Governance",46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,TRUE,FALSE,3.8,Bloomberg,New York,New York,"New York, NY",> 10000,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,,
Data Analyst,46000-87000,46000,87000,66500,TRUE,TRUE,TRUE,TRUE,FALSE,3.9,Real Capital Analytics,New York,New York,"New York, NY",51-200,2000,Company - Private,Real Estate,Real Estate,$25 to $50 million (USD),37.5,25,50
"Data Analyst, Revenue Analytics",51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,4.8,Ro,New York,New York,"New York, NY",51-200,2017,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
Data Analyst - Data Acquisition / Data Lineage,51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,3.6,Perficient,New York,New York,"Saint Louis, MO",1001-5000,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),250500,500000,1000
Data Analyst - Data Scanning Utilizing Rochade,51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,3.6,Perficient,New York,New York,"Saint Louis, MO",1001-5000,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),250500,500000,1000
Data Analyst - Stitching,51000-88000,51000,88000,69500,FALSE,FALSE,FALSE,FALSE,FALSE,3.6,Perficient,New York,New York,"Saint Louis, MO",1001-5000,1998,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),250500,500000,1000
Jr. Data Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,TRUE,FALSE,4.1,Kforce,New York,New York,"Tampa, FL",> 10000,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),1500,1000,2000
"Data Analyst, Retail Media",51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,TRUE,FALSE,3.9,Criteo,New York,New York,"Paris, France",1001-5000,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),3500,2000,5000
Data Analyst,51000-88000,51000,88000,69500,TRUE,FALSE,TRUE,FALSE,FALSE,3,Royal Communications,New York,New York,"New York, NY",1-50,,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),3,1,5
Portfolio Data Analyst,51000-88000,51000,88000,69500,TRUE,FALSE,FALSE,TRUE,FALSE,3.7,Neuberger Berman,New York,New York,"New York, NY",1001-5000,1939,Company - Private,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD),250500,500000,1000
Data Science Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,FALSE,FALSE,,Greater New York Mutual Insurance Companies (Gny),New York,New York,,,,,,,,,,
Data/Reporting Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,TRUE,FALSE,3.9,Diverse Lynx,New York,New York,"Princeton, NJ",501-1000,2002,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),300,100,500
Data Analyst 2,51000-88000,51000,88000,69500,TRUE,FALSE,TRUE,FALSE,TRUE,3.7,Eteam Inc.,New York,New York,"South Plainfield, NJ",51-200,1999,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),75,50,100
Entry Level Data Analyst,51000-88000,51000,88000,69500,TRUE,FALSE,TRUE,TRUE,FALSE,,Impakt Advisors,New York,New York,"New York, NY",1-50,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,,
Marketing Data Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,FALSE,FALSE,3.6,Current,New York,New York,"Colorado Springs, CO",201-500,,Company - Public,,,Unknown / Non-Applicable,,,
Data/Information Mgt Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,FALSE,FALSE,FALSE,3.7,Citi,New York,New York,"New York, NY",> 10000,1812,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Business Data Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,FALSE,FALSE,3.6,Axelon Services Corporation,New York,New York,"New York, NY",501-1000,,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),300,100,500
Data Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,TRUE,TRUE,4.1,United Nations,New York,New York,"New York, NY",> 10000,1945,Government,Federal Agencies,Government,Unknown / Non-Applicable,,,
